codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario,sentimento
15,@g1,banco central mantém taxa básica de juros em 15 ao ano glo bo 3i36cqf g1,faz o faz o faz o,NEUTRO
15,@g1,banco central mantém taxa básica de juros em 15 ao ano glo bo 3i36cqf g1,explica isso aqui cadê você alguma palavra,POSITIVO
15,@g1,banco central mantém taxa básica de juros em 15 ao ano glo bo 3i36cqf g1,tudo combinado entre gov e galipolo,NEUTRO
15,@g1,banco central mantém taxa básica de juros em 15 ao ano glo bo 3i36cqf g1,lula amigo dos banqueiros,POSITIVO
15,@g1,banco central mantém taxa básica de juros em 15 ao ano glo bo 3i36cqf g1,autonominha do bancú sempau,NEUTRO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,depois desse negócio com bolsonaro esses deputados vivem em prol dele vivem por ele gente por favor pesquisem em quem vai votar nos próximos anos,POSITIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,como ratos e bandidos que são devem votar na calada da madrugada enquanto brasileiros honestos dormem exaustos de tanto trabalharem,NEUTRO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,o congresso virou um picadeiro todo dia querendo fazer graça com o dinheiro do povo,POSITIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,o pior congresso da história da democracia,NEGATIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,chamem pelo nome que merece pec da bandidagem obviamente só podia ser iniciativa dos que diziam não temos bandido de estimação,POSITIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,sou a favor da extinção da câmara e senado,POSITIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,cruz credo esses deputados não trabalham para o povo brasileiro,NEGATIVO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,sem anistia pra bandido,NEUTRO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,chega de omissão por muito menos o nepal pegou,NEUTRO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,bando de pilantras,NEUTRO
16,@g1,após pec da blindagem câmara pode votar urgência para anistia nesta quarta glo bo 41yytjb g1,anistia ampla geral e irrestrita,NEUTRO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,discípulo de javier milei reduzindo impostos pra atrair novas empresas só o tempo dirá,NEUTRO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,isso é uma loucura pra mim datacenter consome uma enormidade de energia e água,NEGATIVO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,todo dia um 7x1 diferente,NEUTRO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,enquanto isso,NEUTRO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,os motores da ia como as nações podem enfrentar as oportunidades e os desafios bit ly 3uxbihq,POSITIVO
17,@g1,lula assina mp que desonera tributos de data centers para atrair indústria de processamento de dados glo bo 3vsmbvv g1,cada foto deste vagabundo,NEUTRO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,graças a damares que começou,POSITIVO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,pq ninguém está falando sobre isso estão falando só sobre pauta da anistia que vai ser vetada pelo lula e stf,NEGATIVO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,transcreva a lei,POSITIVO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,acordem isso é para censurar a internet,NEGATIVO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,lula é incrível,NEUTRO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,estuprar tá liberado só não pode postar na rede entendi resolver o problema que é bom nada castrar estupradores de criança não isso seria exagero né,NEGATIVO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,daqui a pouco a direita derruba esse veto,NEUTRO
18,@g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,lulaladrão,NEUTRO
19,@g1,lula envia ao congresso nacional projeto de regulação econômica das big techs glo bo 4mmkg2n g1,trump já avisou depois não chorem,NEGATIVO
19,@g1,lula envia ao congresso nacional projeto de regulação econômica das big techs glo bo 4mmkg2n g1,e sem choro da extrema direita os eua estão prestes a banir o tik tok nas terras do tio sam cada país com sua soberania e legislação,NEGATIVO
19,@g1,lula envia ao congresso nacional projeto de regulação econômica das big techs glo bo 4mmkg2n g1,parece que só lula e a esquerda quer trabalhar por um país melhor a direita quer livrar os bandidos da prisão apenas pec da bandidagem não,NEGATIVO
19,@g1,lula envia ao congresso nacional projeto de regulação econômica das big techs glo bo 4mmkg2n g1,senil burro depois vai dizer que a culpa é dos outros tomanuku,NEGATIVO
19,@g1,lula envia ao congresso nacional projeto de regulação econômica das big techs glo bo 4mmkg2n g1,o congresso é inimigo do povo,NEGATIVO
20,@g1,filho de ambulante e diarista médico viraliza com vídeo de formatura no amapá glo bo 3itun7f g1,valeu garoto,NEUTRO
20,@g1,filho de ambulante e diarista médico viraliza com vídeo de formatura no amapá glo bo 3itun7f g1,lula sanciona lei que combate adultização de crianças na internet e cria regras para empresas de redes sociais glo bo 3k8gm4q g1,POSITIVO
20,@g1,filho de ambulante e diarista médico viraliza com vídeo de formatura no amapá glo bo 3itun7f g1,veja cavalo caga em frente a donald trump durante a visita do presidente dos estados unidos ao reino unido,POSITIVO
20,@g1,filho de ambulante e diarista médico viraliza com vídeo de formatura no amapá glo bo 3itun7f g1,no rio madeira a ação da pf ultrapassou todos os limites se há ilegalidade que se apliquem sanções dentro da lei mas destruir casas balsas com explosivos é um ato que vai muito além causa mortandade de peixes polui a água que abastece as comunidades ribeirinhas destrói o,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,o que tem nesse filme pra ser 18,NEUTRO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,na globo pode ver dois machos se beijando na rede aberta na novela das 20 e tudo bem,POSITIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,clientes de 16 e 17 anos podem assistir ao filme mediante autorização devidamente assinada pelos responsáveis ou acompanhados por eles já adolescentes de 15 anos ou menos não podem assistir ao filme mesmo acompanhados pelos responsáveis ou com autorização preenchida,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,as crianças já assistem po4n0grafia na internet mas o problema é levar eles no cinema,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,pois esta no nome classificação indicativa todos nessa historia estão errados menos a mãe que determina se o filho pode ou não assistir,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,baixa essa porra pirata já tem em todos os sites animes,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,ué não pode levar criança para assistir anime eu iria levar meu sobrinho,NEGATIVO
21,@g1,classificação indicativa policiais militares foram acionados em uma sessão de cinema na zona leste de são paulo após uma mãe levar os filhos duas crianças para assistir a demon slayer castelo infinito filme de animação do japão que se tornou um fenômeno entre o público,o anime não tem nada de 18 pra esse auê todo tb,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,querem que eu agradeça por terem feito o seu trabalho,NEUTRO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,que bom,POSITIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,o básico do básico queremos isenção do ir até 5000 não a pec das prerrogativas blindagem impunidade bandidagem sem anistia taxação dos milionários e fim da escala 6x1,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,nada como fazer graça com o dinheiro dos outros,POSITIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,anistia já chega de injustiça,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,e pensar que aqui a luz já aumentou pq agora nos que vamos pagar a conta de algum desses aí que usa o bolsa família pra jogar no tigrinho,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,brasil fora do mapa da fome pleno emprego isenção de imposto de renda cesta básica com imposto zerado remédio de graça casa para quem está em situação de rua um governo para o povo principalmente para quem mais precisa e está no cadúnico a fome é professora viva lula,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,absurdo a câmara ajudando partido o corrupto pt a abastecer seu curral eleitoral as custas do sacrifício da maioria da população brasileira que pagará maus caro a conta de luz,NEGATIVO
22,@g1,câmara aprova mp que garante ampliação da tarifa social na conta de luz para famílias do cadúnico glo bo 4mo8rzi g1,já sabem quem irá pagar esta conta né lula não dá nada de graça,POSITIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,não consigo entender atividade paranormal tem morte demônio cigarro etc 16 anos desenho de espada contra vampiros 18 kkkkk faz o l,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,o filme é 18 e a mãe das crianças sequer pesquisou sobre o filme que iria assistir com os filhos acho zoado terem chamado a polícia mas é sempre bom fazer parte da vida dos filhos e conhecer bem o mundo deles caso contrario isso não teria acontecido,POSITIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,não estamos mais nos anos 90 quando nós éramos crianças e assistíamos animes com decapitação amputação de membros perfuração de coração corpos partidos ao meio personagem se cegando cortando os próprios pulsos entre muitas cenas de violência explicita os tempos são outros,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,se fosse em museu para tocar em homem nu tava de boa,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,mano kkkkkk surreal sendo que o público que consome o anime é majoritariamente menor de 18,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,mas se os pais estão juntos do menor de idade pode ir no cinema sim,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,nao foi um dia desses q um homem mijou em uma,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,pm ta sem problema pra resolver aparentemente,NEGATIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,ué q eu saiba existe autorização que se um menos for com um de maior ele pode assistir de boa,POSITIVO
23,@g1,pm é acionada em cinema de sp após mãe levar crianças para ver anime demon slayer com indicação para maiores de 18 anos glo bo 3k6kozm g1,podemos dormir mais tranquilos essa noite,NEUTRO
24,@g1,blog da camila bomfim a pec da blindagem aprovada na câmara dos deputados e pendente de análise no senado pode criar um escudo mais amplo do que se imagina se aprovado de forma definitiva o mecanismo não ficaria restrito a deputados e senadores mas se estenderia a,boa tarde camila bonfim hugo mota não tem moral para continuar na presidência da câmara dos deputados ninguém respeita tornou se uma coisa qualquer porém bem falante no primeiro tempo depois vira cacos prá todos os lados hugo mota é um moleque até,POSITIVO
